name,province,city,address,phone_number,website,url
کتابخانه مرکز بررسی های اسلامی قم,قم,قم,قم مقدسه - شهرک پردیسان - بلوار دانشگاه - بلوار سلمان – خیابان شهید کوچکی زاده – خیابان شهید مخلصی - کتابخانه مرکز بررسی های اسلامی,37741423-025 ( داخلی  ),http://iscq.ir,https://lib.ir/fa/library/578/کتابخانه-مرکز-بررسی-های-اسلامی-قم/search/
کتابخانه مركز پژوهش های اسلامی و دانشكده صدا و سيما,قم,قم,قم مقدسه – بلوار امین (ص) – صدا و سیما – مركز پژوهشهای اسلامی صدا و سیما.,32920077-025 ( داخلی  ),http://lib.iriblib.ir,https://lib.ir/fa/library/104/کتابخانه-مركز-پژوهش-های-اسلامی-و-دانشكده-صدا-و-سيما/search/
كتابخانه مركز پژوهشی دائرة المعارف علوم عقلی اسلامى,قم,قم,قم مقدسه - شهرك پرديسان - شعبه 2 موسسه آموزشي و پژوهشي امام خميني (ره)- مركز پژوهشي دائرةالمعارف علوم عقلي اسلامى.,02532113739 ( داخلی  ),http://dmaaref.iki.ac.ir,https://lib.ir/fa/library/318/كتابخانه-مركز-پژوهشی-دائرة-المعارف-علوم-عقلی-اسلامى/search/
كتابخانه مركز تحقيقات آموزش و پرورش,قم,قم,قم مقدسه - گلزار شهدا – جنب هنرستان شهيد رجايى- مركز تحقيقات آموزش و پرورش.,37737766-025 ( داخلی  ),http://,https://lib.ir/fa/library/180/كتابخانه-مركز-تحقيقات-آموزش-و-پرورش/search/
كتابخانه مرکز تحقیقات و آموزش كشاورزی و منابع طبیعی,قم,قم,قم - بلوار غدیر- جنب بوستان علوی - ساختمام سازمان جهاد کشاورزی - طبقه اول.,32126699-025 ( داخلی  ),http://qom.areo.ir,https://lib.ir/fa/library/390/كتابخانه-مرکز-تحقیقات-و-آموزش-كشاورزی-و-منابع-طبیعی/search/
كتابخانه مركزی حوزه های علميه خواهران (کوثر),قم,قم,قم مقدسه - بلوار امين (ص) - ميدان ارتش(ايران مرينوس)- كوچه الغدیر 1 (آتش نشانی) - مركز مديريت حوزه علميه خواهران.,32603373-32144353-025 ( داخلی  ),http://lib.whc.ir,https://lib.ir/fa/library/193/كتابخانه-مركزی-حوزه-های-علميه-خواهران-کوثر/search/
كتابخانه مركزی دانشگاه حضرت معصومه (س),قم,قم,قم مقدسه - بلوار شهيد خداكرم - روبروي حوزه نظام وظيفه - كوچه 4 - دانشگاه حضرت معصومه (س).,33209030-025 ( داخلی 310 ),http://hmu.ac.ir,https://lib.ir/fa/library/452/كتابخانه-مركزی-دانشگاه-حضرت-معصومه-س/search/
كتابخانه مركزی دانشگاه قم,قم,قم,قم مقدسه - بلوار غدير (جاده قدیم اصفهان) - دانشگاه قم,32103324-32103323-025 ( داخلی 3327-3210-3347 ),https://lib.qom.ac.ir,https://lib.ir/fa/library/126/كتابخانه-مركزی-دانشگاه-قم/search/
کتابخانه مرکزی مجتمع آموزش عالی امام خمینی (ره) - جامعه المصطفی (ص) العالمیه,قم,قم,خیابان 19 دی نبش میدان جهاد- مجتمع آموزش عالی امام خمینی (ره),37110210-025 ( داخلی  ),http://Dlib.miu.ac.ir,https://lib.ir/fa/library/111/کتابخانه-مرکزی-مجتمع-آموزش-عالی-امام-خمینی-ره--جامعه-المصطفی-ص-العالمیه/search/
کتابخانه مطالعات اسلامی زن و خانواده (قم),قم,قم,بلوار الغدیر، کوچه 10، پلاک 5، طبقه 3 مرکز تحقیقات زن و خانواده,32603357-025 ( داخلی 7 ),http://Wrc.ir,https://lib.ir/fa/library/593/کتابخانه-مطالعات-اسلامی-زن-و-خانواده-قم/search/
